ra,dec,Source,Band
265.5161225997076,13.162104067839794,GTC,g
265.51575092734004,13.162636863550821,GTC,g
265.5168182904492,13.162888304880845,GTC,g
265.52689272664827,13.164451620233908,GTC,g
265.5215899290069,13.163781711189186,GTC,g
265.51832177783507,13.166288784908955,GTC,g
265.52204601895835,13.166947866939552,GTC,g
265.52161465803107,13.16842239750608,GTC,g
265.5208040985054,13.169466867276453,GTC,g
265.52665663912734,13.169880316315837,GTC,g
265.51720655410634,13.171159177283785,GTC,g
265.5191250877278,13.170362499288132,GTC,g
265.5141663049628,13.173844232365367,GTC,g
265.5135252707803,13.173788549332793,GTC,g
265.5171680987326,13.17417377879894,GTC,g
265.51537362430827,13.174876539871136,GTC,g
265.5131416134712,13.17657348638644,GTC,g
265.5239039975095,13.176951336310186,GTC,g
265.5260316959294,13.177360279618197,GTC,g
265.5224310593574,13.178276882117851,GTC,g
265.5211945572362,13.178384811875148,GTC,g
265.523229760885,13.180208315414662,GTC,g
265.52326658582996,13.18152859243726,GTC,g
265.51538174998296,13.179696063502428,GTC,g
265.51858449502447,13.179425999160287,GTC,g
265.5247061282729,13.167426958677215,GTC,g
265.50988560540117,13.170174901598418,GTC,g
265.5266034864225,13.172170321515255,GTC,g
265.52397247857203,13.173404112826715,GTC,g
265.521166324145,13.1741878051823,Gaia,g
265.52133474738497,13.170963201987199,Gaia,g
265.52933896350703,13.1756241268688,Gaia,g
265.520834612114,13.168602942074699,PanSTARRS,g
