ra,dec,Source,Band
262.35025839456523,6.415007851449005,GTC,r
262.3495810476294,6.415180679948791,GTC,r
262.3466030137936,6.415691453746036,GTC,r
262.3401799544114,6.416588737986776,GTC,r
262.3447698549806,6.417100434312668,GTC,r
262.35092602285226,6.417115620100911,GTC,r
262.35451945068684,6.418487803629451,GTC,r
262.34266200253967,6.418298921244889,GTC,r
262.3460789314419,6.418983768847253,GTC,r
262.3468569557595,6.419934169916023,GTC,r
262.35191466982127,6.4204278391497125,GTC,r
262.34498141530804,6.422879056574264,GTC,r
262.35748739833656,6.424416560338923,GTC,r
262.3438822415226,6.4247715093761695,GTC,r
262.35929908482257,6.425412897187361,GTC,r
262.3447616519187,6.425685871002346,GTC,r
262.35158791339677,6.427366157533633,GTC,r
262.34803217458176,6.427788867086816,GTC,r
262.3586600415023,6.428193963640433,GTC,r
262.3504672240084,6.428460915438772,GTC,r
262.3552781534801,6.429101679626355,GTC,r
262.3538677967967,6.430038061256112,GTC,r
262.3425186645409,6.429805915908396,GTC,r
262.3486004891375,6.430327067144675,GTC,r
262.34545378512945,6.4303233596669775,GTC,r
262.35199298789684,6.43217817657011,GTC,r
262.3476536523795,6.4327935746518445,GTC,r
262.3479451309124,6.432875607607642,GTC,r
262.35070298311797,6.433610443196971,GTC,r
262.3476082376219,6.42072959922495,GTC,r
262.3538083169988,6.419579932184575,GTC,r
262.3550388011488,6.415808690392928,GTC,r
262.34785681490655,6.416262647571912,GTC,r
262.35381531259264,6.421898357882228,GTC,r
262.346968815772,6.424418022139322,GTC,r
262.3524410100327,6.425392720038015,GTC,r
262.3460957683895,6.4260422318099035,GTC,r
262.3498615366974,6.429357830736802,GTC,r
262.34634511102684,6.429467964340396,GTC,r
262.3552480080434,6.430388997901635,GTC,r
262.3512562139566,6.431820690398451,GTC,r
262.351347288157,6.4261388456878,Gaia,r
262.340325944837,6.421737568653669,Gaia,r
262.35270335983,6.4229929683369695,Gaia,r
262.34344901989,6.414962099521519,Gaia,r
262.340841666657,6.42542111130859,PanSTARRS,r
262.356056874484,6.42175445369504,PanSTARRS,r
