ra,dec,Source,Band
292.96563816531915,-26.46055177439545,GTC,r
292.963592561646,-26.45931803181686,GTC,r
292.96191846107996,-26.458407647480907,GTC,r
292.96264141091893,-26.45790301584896,GTC,r
292.9613381903181,-26.457023979647474,GTC,r
292.95907954514803,-26.45659631250329,GTC,r
292.96038062413584,-26.456340387033123,GTC,r
292.9661753457509,-26.456278384935366,GTC,r
292.97117242709066,-26.452464395036717,GTC,r
292.96751031788637,-26.452159261461386,GTC,r
292.9533782628833,-26.451345003390838,GTC,r
292.95466065930725,-26.45104922467409,GTC,r
292.9565994680582,-26.450793636572485,GTC,r
292.9660017232098,-26.45039150744014,GTC,r
292.9541146214456,-26.45039170779143,GTC,r
292.96421586821623,-26.449122271165194,GTC,r
292.9548628998179,-26.44937452713816,GTC,r
292.96890292516497,-26.448639558609162,GTC,r
292.97095107834735,-26.448350815956893,GTC,r
292.95672518749785,-26.44945874574649,GTC,r
292.9638866553554,-26.4484133133475,GTC,r
292.97095107834735,-26.448350815956893,GTC,r
292.9517183185063,-26.44941754546849,GTC,r
292.9523455250076,-26.448633535226296,GTC,r
292.9727519853489,-26.44791906282633,GTC,r
292.9693580221454,-26.4475492663985,GTC,r
292.963859756367,-26.447269312766913,GTC,r
292.96000990410636,-26.44678278803214,GTC,r
292.97012828648207,-26.446422617338616,GTC,r
292.97174756464716,-26.44590999868114,GTC,r
292.9559643905493,-26.445903073812556,GTC,r
292.9693971143604,-26.44518486753353,GTC,r
292.9629167072241,-26.44120825455863,GTC,r
292.963579855479,-26.4544844820574,Gaia,r
292.963758072789,-26.4459641877744,Gaia,r
292.973157311652,-26.4520650263176,PanSTARRS,r
292.960341663905,-26.4485431353127,PanSTARRS,r
