ra,dec,Source,Band
262.349688972521,6.415154508922227,GTC,g
262.35515831230214,6.415748382544768,GTC,g
262.3402596447869,6.416583056993215,GTC,g
262.3510272977047,6.417080615521648,GTC,g
262.3469625997736,6.419901208114951,GTC,g
262.35791736745983,6.420614041613317,GTC,g
262.34395149189254,6.424753335509927,GTC,g
262.3448673288348,6.425669987315303,GTC,g
262.35882041149733,6.428160985895662,GTC,g
262.35060037930174,6.4284054734789,GTC,g
262.3554171429256,6.429018987185566,GTC,g
262.349998378828,6.429309975656668,GTC,g
262.342638672718,6.429794376014372,GTC,g
262.35400829619596,6.4299596918238535,GTC,g
262.34874217549725,6.430277958793572,GTC,g
262.3455720275023,6.430274916252997,GTC,g
262.352114757357,6.4321192488205705,GTC,g
262.34778833134794,6.432722578077454,GTC,g
262.3477392446877,6.42068072305659,GTC,g
262.3539063226251,6.419512084298103,GTC,g
262.3503649094721,6.4149704549598,GTC,g
262.3479656854401,6.4162176510200695,GTC,g
262.3561205139596,6.416883630015974,GTC,g
262.35466680017595,6.4183985159297565,GTC,g
262.34620937567473,6.4189772753532095,GTC,g
262.35394462566774,6.421789328757456,GTC,g
262.3450967712393,6.422843571174803,GTC,g
262.35766237164904,6.4242893966413215,GTC,g
262.3525291706657,6.4252584383291245,GTC,g
262.359435519852,6.425315572066691,GTC,g
262.34619651018863,6.4260230283342725,GTC,g
262.35268226805016,6.426449494348196,GTC,g
262.35466868711757,6.427292685855093,GTC,g
262.3517038645849,6.4272942627355985,GTC,g
262.3481778729062,6.427742878363475,GTC,g
262.34713503755006,6.4284511873912615,GTC,g
262.346456007268,6.4294457295591965,GTC,g
262.3513805528214,6.431773945024991,GTC,g
262.351347288157,6.4261388456878,Gaia,g
262.340325944837,6.421737568653669,Gaia,g
262.35270335983,6.4229929683369695,Gaia,g
262.34344901989,6.414962099521519,Gaia,g
262.340841666657,6.42542111130859,PanSTARRS,g
262.356056874484,6.42175445369504,PanSTARRS,g
