date        g       r       i       z       conditions
20230708    29.126  29.255  28.789  28.124  Photometric
20230709    29.127  29.255  28.791  28.119  Photometric
20230723    29.119  29.263  28.798  28.148  Photometric
20230816    28.932  29.052  28.584  27.914  Clear
